Ticker,Earning Date,^GSPC,^GSPC_pctchange_5,^GSPC_pctchange_21,^GSPC_pctchange_yoy,^RUT,^RUT_pctchange_5,^RUT_pctchange_21,^RUT_pctchange_yoy,^VIX,^VIX_pctchange_5,^VIX_pctchange_21,^VIX_pctchange_yoy,GC=F,GC=F_pctchange_5,GC=F_pctchange_21,GC=F_pctchange_yoy,CL=F,CL=F_pctchange_5,CL=F_pctchange_21,CL=F_pctchange_yoy,^TNX,^TNX_pctchange_5,^TNX_pctchange_21,^TNX_pctchange_yoy,^FVX,^FVX_pctchange_5,^FVX_pctchange_21,^FVX_pctchange_yoy
VRSN,2019-07-25,3003.67,0.29,2.96,5.54,1561.45,0.37,2.66,-7.34,12.74,-5.84,-21.74,3.66,1413.9,-0.86,-0.07,14.82,56.02,1.3,-3.13,-19.16,2.07,1.27,3.7,-33.14,1.85,2.71,5.46,-37.85
VRSN,2019-10-24,3010.29,0.41,0.85,13.33,1548.49,0.43,-0.14,5.43,13.71,-0.58,-14.1,-45.66,1498.9,0.44,-0.38,22.08,56.23,4.26,-0.46,-15.85,1.77,1.09,5.43,-35.62,1.59,1.86,2.32,-38.73
VRSN,2020-02-06,3345.78,1.89,3.35,23.64,1677.46,1.77,1.15,11.41,14.96,-3.42,8.48,-8.61,1565.1,-1.16,-0.43,19.53,50.95,-2.28,-18.74,-3.21,1.64,8.16,-9.92,-33.63,1.46,10.11,-10.76,-35.94
VRSN,2020-04-23,2797.8,-0.06,14.32,-4.39,1214.06,3.05,10.72,-22.95,41.38,3.17,-32.9,212.3,1733.3,0.75,4.4,35.86,16.5,-16.96,-31.28,-74.7,0.61,-6.27,-18.16,-70.08,0.37,1.37,-13.38,-79.5
VRSN,2020-07-23,3235.66,0.62,3.33,7.72,1490.2,1.54,3.53,-4.56,26.08,-6.86,-16.86,104.71,1889.1,5.03,6.6,33.61,41.07,0.79,1.73,-26.69,0.58,-7.32,-8.49,-66.4,0.27,-5.67,-11.04,-83.45
VRSN,2020-10-22,3453.49,-0.86,6.69,14.72,1630.25,-0.53,12.32,5.28,28.11,4.23,-1.64,105.03,1901.1,-0.11,2.22,26.83,40.64,-0.78,1.78,-27.73,0.85,13.98,27.9,-55.49,0.38,17.55,40.98,-78.26
VRSN,2021-02-11,3916.38,1.15,3.03,16.08,2285.32,3.76,7.39,34.93,21.25,-2.39,-8.92,50.18,1824.9,2.01,-0.98,15.86,58.24,3.57,9.45,13.26,1.16,-1.03,5.56,90.15,0.46,-1.28,1.32,35.19
VRSN,2021-04-22,4134.98,-0.85,5.74,47.79,2232.61,-1.08,2.15,83.9,18.71,12.91,-7.83,-54.78,1781.2,0.89,3.28,2.76,61.43,-3.2,6.35,272.3,1.55,-1.21,-6.39,127.19,0.8,-2.31,-6.31,153.8
VRTX,2016-07-27,2166.58,-0.3,8.3,2.75,1218.93,0.76,11.86,-0.87,12.83,9.01,-46.21,2.64,1326.6,0.59,0.31,21.16,41.92,-6.72,-9.52,-11.04,1.51,-3.19,4.05,-25.81,1.1,-0.09,9.66,-19.64
VRTX,2016-10-25,2143.16,0.17,-0.14,3.74,1216.1,-0.1,-2.0,6.18,13.46,-11.91,-7.17,-12.77,1271.9,0.88,-4.88,8.05,49.96,-0.66,12.32,8.75,1.76,0.34,12.91,-23.66,1.28,3.4,14.44,-29.07
VRTX,2017-01-25,2298.37,1.17,1.65,22.06,1382.44,1.76,1.45,37.86,10.81,-13.38,-5.42,-53.22,1197.3,-1.16,6.07,6.74,52.75,3.27,-0.38,67.73,2.52,2.6,1.86,34.92,1.99,1.74,1.27,46.75
VRTX,2017-04-27,2388.77,1.4,1.28,15.08,1417.13,2.38,3.65,24.27,10.36,-26.78,-10.15,-31.93,1263.7,-1.42,0.67,1.73,48.97,-2.59,1.24,11.19,2.3,2.64,-4.17,57.26,1.82,3.35,-5.7,81.72
VRTX,2017-07-26,2477.83,0.16,1.59,14.37,1442.28,0.04,1.81,18.32,9.6,-1.94,-3.03,-25.18,1249.0,0.63,0.22,-5.33,48.75,3.46,12.38,13.03,2.28,0.71,-0.87,41.3,1.82,-0.05,-3.34,58.02
VRTX,2017-10-25,2557.15,-0.16,2.42,19.52,1493.48,-0.77,2.51,23.97,11.23,11.52,10.42,-21.14,1275.4,-0.35,-1.67,0.28,52.18,0.27,0.58,4.44,2.44,5.3,5.07,-2.47,2.06,4.1,6.64,2.9
VRTX,2018-01-31,2823.81,-0.48,5.62,23.88,1574.98,-1.67,2.57,15.7,13.54,18.05,22.64,14.65,1339.0,-1.25,2.5,11.07,64.73,-1.34,7.13,20.14,2.72,3.78,9.85,15.74,2.52,4.3,10.46,34.4
VRTX,2018-04-26,2666.94,-0.97,2.08,11.64,1557.89,-1.01,2.93,9.93,16.24,1.75,-27.82,56.76,1316.3,-2.26,-1.86,4.16,68.19,-0.15,4.51,39.25,2.99,1.32,9.44,34.62,2.82,0.93,10.59,55.23
VRTX,2018-07-25,2846.07,1.08,4.75,14.86,1685.2,-0.39,1.67,16.84,12.29,1.57,-29.08,28.02,1231.4,0.42,-2.7,-1.41,69.3,0.79,1.79,42.15,2.94,3.13,3.05,31.72,2.81,2.7,3.04,52.11
VRTX,2018-10-24,2656.1,-5.45,-8.9,3.87,1468.7,-7.61,-14.05,-1.66,25.23,45.0,103.14,124.67,1227.8,0.34,2.32,-3.73,66.82,-4.2,-7.55,28.06,3.12,-1.61,2.23,29.41,2.96,-1.98,0.54,34.79
VRTX,2019-02-05,2737.7,3.7,8.13,3.35,1520.23,3.32,10.1,1.95,15.57,-18.61,-27.17,-58.28,1314.2,0.46,2.46,-1.41,53.66,0.66,11.88,-16.35,2.7,0.26,-1.06,-3.02,2.51,0.4,-1.8,-3.38
VRTX,2019-04-30,2945.83,0.41,3.93,11.25,1591.21,0.39,3.34,3.2,13.12,6.84,-4.3,-17.64,1282.8,1.06,-0.79,-2.54,63.91,-3.6,6.27,-6.8,2.51,-0.52,-0.12,-11.93,2.28,-1.43,-1.51,-16.44
VRTX,2019-07-31,2980.38,-1.3,0.54,5.83,1574.61,-0.37,0.51,-5.76,16.12,33.55,14.65,25.64,1426.1,0.23,2.92,16.54,58.58,4.83,-0.86,-14.81,2.02,-2.56,-1.32,-34.38,1.84,-0.54,0.11,-37.7
VRTX,2019-10-30,3046.77,1.41,3.62,13.57,1572.85,1.29,5.32,4.39,12.33,-11.99,-33.57,-47.19,1493.2,0.22,0.76,22.13,55.06,-1.63,2.69,-16.8,1.8,1.81,18.68,-29.6,1.64,3.15,22.99,-30.87
VRTX,2020-01-30,3283.66,-1.26,1.94,21.43,1648.22,-2.18,-0.96,9.92,15.49,19.34,4.52,-6.52,1583.5,1.21,4.56,19.99,52.14,-6.21,-15.47,-3.07,1.56,-7.32,-12.86,-38.1,1.38,-8.06,-12.99,-40.52
VRTX,2020-04-29,2939.51,5.01,11.91,0.54,1360.76,13.25,17.48,-13.68,31.23,-25.61,-45.29,111.01,1703.4,-1.46,5.02,32.93,15.06,9.29,-25.04,-76.32,0.63,2.28,6.81,-68.27,0.36,-1.9,-1.36,-79.28
VRTX,2020-07-30,3246.22,0.33,4.71,9.91,1495.1,0.33,3.73,-3.59,24.76,-5.06,-18.63,38.56,1942.3,2.82,8.33,36.7,39.92,-2.8,1.66,-26.01,0.54,-8.15,-20.91,-66.1,0.23,-16.06,-25.08,-83.92
VRTX,2020-10-29,3310.11,-4.15,-1.57,8.97,1561.58,-4.21,3.57,-0.06,37.59,33.72,42.55,184.34,1865.6,-1.87,-1.16,23.44,36.17,-11.0,-10.07,-33.24,0.83,-0.71,9.58,-53.3,0.37,0.54,14.81,-76.54
