Ticker,Publish Date,Earning Date,epsestimate,epsactual,epssurprisepct
DXCM,2021-02-11,2021-02-11,0.23,0.23,-0.44
DXCM,2021-04-29,2021-04-29,0.07,0.08,12.16
EA,2016-08-09,2016-08-02,-0.02,0.07,391.67
EA,2016-11-08,2016-11-01,0.43,0.53,22.97
EA,2017-02-07,2017-01-31,2.3,2.48,7.87
EA,2017-05-24,2017-05-09,0.75,0.85,13.79
EA,2017-08-08,2017-07-27,0.27,0.31,14.81
EA,2017-11-07,2017-10-31,0.54,0.62,14.6
EA,2018-02-06,2018-01-30,2.19,2.18,-0.5
EA,2018-05-23,2018-05-08,1.17,1.31,12.25
EA,2018-08-08,2018-07-26,0.06,0.15,154.24
EA,2018-11-06,2018-10-30,0.58,0.88,50.68
EA,2019-02-06,2019-02-05,1.94,1.93,-0.36
EA,2019-05-24,2019-05-07,0.98,1.31,33.95
EA,2019-08-06,2019-07-30,0.01,0.25,3025.0
EA,2019-11-06,2019-10-29,0.86,0.97,13.32
EA,2020-02-04,2020-01-30,2.51,2.52,0.36
EA,2020-05-20,2020-05-05,0.98,1.08,10.2
EA,2020-08-07,2020-07-30,0.79,1.42,80.43
EA,2020-11-10,2020-11-05,0.03,0.05,100.0
EA,2021-02-08,2021-02-02,2.96,3.06,3.38
EA,2021-05-26,2021-05-11,1.05,1.23,16.92
EBAY,2016-07-21,2016-07-20,0.42,0.43,1.9
EBAY,2016-10-20,2016-10-19,0.44,0.45,2.27
EBAY,2017-02-06,2017-01-25,0.54,0.54,0.93
EBAY,2017-04-20,2017-04-19,0.48,0.49,2.51
EBAY,2017-07-21,2017-07-20,0.45,0.45,0.9
EBAY,2017-10-20,2017-10-18,0.48,0.48,0.63
EBAY,2018-02-05,2018-01-31,0.59,0.59,0.68
EBAY,2018-04-26,2018-04-25,0.53,0.53,-0.56
EBAY,2018-07-19,2018-07-18,0.51,0.53,3.72
EBAY,2018-10-31,2018-10-30,0.54,0.56,3.13
EBAY,2019-01-30,2019-01-29,0.68,0.71,4.87
